State,Office,Office Code,Jurisdiction Code,Election Type,Election Type Code,Full Name,Last Name,Candidate ID
All United States,President,P,0,General Election,G,Mattie Preston,Preston,20078865
All United States,President,P,0,General Election,G,Joel Skousen,Skousen,20078491
All United States,President,P,0,General Election,G,Peter Sonski,Sonski,20078864
All United States,President,P,0,General Election,G,Jill Stein,Stein,895
All United States,President,P,0,General Election,G,William Stodden,Stodden,20078879
All United States,President,P,0,General Election,G,Vermin Supreme,Supreme,1968
All United States,President,P,0,General Election,G,Randall Terry,Terry,61513
All United States,President,P,0,General Election,G,Donald Trump,Trump,8639
All United States,President,P,0,General Election,G,Robby Wells,Wells,20073324
All United States,President,P,0,General Election,G,Cornel West,West,20078274
All United States,President,P,0,General Election,G,Michael Wood,Wood,20078863
All United States,President,P,0,General Election,G,Write-ins,Write-ins,21303
All United States,Senate,S,0,General Election,G,The Democratic candidate,Democratic candidate,17198
All United States,Senate,S,0,General Election,G,Others,Others,131
All United States,Senate,S,0,General Election,G,The Republican candidate,Republican candidate,17199
Arizona,House,H,1,General Election,G,David Schweikert,Schweikert,5397
Arizona,House,H,1,General Election,G,Amish Shah,Shah,20078567
Arizona,House,H,2,General Election,G,Eli Crane,Crane,20075977
Arizona,House,H,2,General Election,G,Jonathan Nez,Nez,20078570
Arizona,House,H,2,General Election,G,Write-ins,Write-ins,21303
Arizona,House,H,3,General Election,G,Yassamin Ansari,Ansari,20076949
Arizona,House,H,3,General Election,G,Alan Aversa,Aversa,62607
Arizona,House,H,3,General Election,G,Write-ins,Write-ins,21303
Arizona,House,H,3,General Election,G,Jeff Zink,Zink,20075983
Arizona,House,H,4,General Election,G,Vincent Beck-Jones,Beck-Jones,20078838
Arizona,House,H,4,General Election,G,Kelly Cooper,Cooper,20075984
Arizona,House,H,4,General Election,G,Greg Stanton,Stanton,20167
Arizona,House,H,5,General Election,G,Andy Biggs,Biggs,52611
Arizona,House,H,5,General Election,G,Katrina Schaffner,Schaffner,20078576
Arizona,House,H,6,General Election,G,Juan Ciscomani,Ciscomani,20075006
Arizona,House,H,6,General Election,G,Athena Eastwood,Eastwood,20078839
Arizona,House,H,6,General Election,G,Kirsten Engel,Engel,20075005
Arizona,House,H,6,General Election,G,Write-ins,Write-ins,21303
Arizona,House,H,7,General Election,G,Daniel Butierez,Butierez,20078578
Arizona,House,H,7,General Election,G,Raúl Grijalva,Grijalva,1131
Arizona,House,H,8,General Election,G,Abe Hamadeh,Hamadeh,20075972
Arizona,House,H,8,General Election,G,Greg Whitten,Whitten,20078434
Arizona,House,H,9,General Election,G,Paul Gosar,Gosar,61424
Arizona,House,H,9,General Election,G,Quacy Smith,Smith,20078435
Arizona,Issue,I1,0,General Election,G,No,No,3
Arizona,Issue,I1,0,General Election,G,Yes,Yes,2
Arizona,Issue 2,I2,0,General Election,G,No,No,3
Arizona,Issue 2,I2,0,General Election,G,Yes,Yes,2
Arizona,Issue 3,I3,0,General Election,G,No,No,3
Arizona,Issue 3,I3,0,General Election,G,Yes,Yes,2
Arizona,Issue 4,I4,0,General Election,G,No,No,3
Arizona,Issue 4,I4,0,General Election,G,Yes,Yes,2
Arizona,Issue 5,I5,0,General Election,G,No,No,3
Arizona,Issue 5,I5,0,General Election,G,Yes,Yes,2
Arizona,Issue 6,I6,0,General Election,G,No,No,3
Arizona,Issue 6,I6,0,General Election,G,Yes,Yes,2
Arizona,President,P,0,General Election,G,Kamala Harris,Harris,64984
Arizona,President,P,0,General Election,G,Chase Oliver,Oliver,20076636
Arizona,President,P,0,General Election,G,Jill Stein,Stein,895
Arizona,President,P,0,General Election,G,Donald Trump,Trump,8639
Arizona,President,P,0,General Election,G,Write-ins,Write-ins,21303
Arizona,Senate,S,0,General Election,G,Ruben Gallego,Gallego,64361
Arizona,Senate,S,0,General Election,G,Kari Lake,Lake,20074237
Arizona,Senate,S,0,General Election,G,Eduardo Quintana,Quintana,20078837
Arizona,Senate,S,0,General Election,G,Write-ins,Write-ins,21303
Arkansas,House,H,1,General Election,G,Rick Crawford,Crawford,60226
Arkansas,House,H,1,General Election,G,Rodney Govens,Govens,20077354
Arkansas,House,H,1,General Election,G,Steve Parsons,Parsons,20078672
Arkansas,House,H,2,General Election,G,French Hill,Hill,63416
Arkansas,House,H,2,General Election,G,Marcus Jones,Jones,20077266
Arkansas,House,H,3,General Election,G,Caitlin Draper,Draper,20077268
Arkansas,House,H,3,General Election,G,Bobby Wilson,Wilson,20078673
Arkansas,House,H,3,General Election,G,Steve Womack,Womack,60238
Arkansas,House,H,4,General Election,G,Risie Howard,Howard,20077356
Arkansas,House,H,4,General Election,G,Bruce Westerman,Westerman,63418
Arkansas,House,H,4,General Election,G,John White,White,20074764
Arkansas,President,P,0,General Election,G,Kamala Harris,Harris,64984
Arkansas,President,P,0,General Election,G,Robert F. Kennedy Jr.,Kennedy,20077008
Arkansas,President,P,0,General Election,G,Chase Oliver,Oliver,20076636
Arkansas,President,P,0,General Election,G,Peter Sonski,Sonski,20078864
Arkansas,President,P,0,General Election,G,Jill Stein,Stein,895
Arkansas,President,P,0,General Election,G,Donald Trump,Trump,8639
Arkansas,President,P,0,General Election,G,Michael Wood,Wood,20078863
California,House,H,1,General Election,G,Doug LaMalfa,LaMalfa,52531
California,House,H,1,General Election,G,Rose Yee,Yee,20075031
California,House,H,2,General Election,G,Chris Coulombe,Coulombe,20075034
California,House,H,2,General Election,G,Jared Huffman,Huffman,62063
California,House,H,3,General Election,G,Kevin Kiley,Kiley,20074181
California,House,H,3,General Election,G,Jessica Morse,Morse,19746
California,House,H,4,General Election,G,John Munn,Munn,20077363
California,House,H,4,General Election,G,Mike Thompson,Thompson,76
California,House,H,5,General Election,G,Mike Barkley,Barkley,19761
California,House,H,5,General Election,G,Tom McClintock,McClintock,188
California,House,H,6,General Election,G,Ami Bera,Bera,60686
California,House,H,6,General Election,G,Christine Bish,Bish,20073427
California,House,H,7,General Election,G,Doris Matsui,Matsui,51416
California,House,H,7,General Election,G,Tom Silva,Silva,20077364
California,House,H,8,General Election,G,John Garamendi,Garamendi,7136
California,House,H,8,General Election,G,Rudy Recile,Recile,20075013
California,House,H,9,General Election,G,Josh Harder,Harder,19762
California,House,H,9,General Election,G,Kevin Lincoln,Lincoln,20077099
California,House,H,10,General Election,G,Mark DeSaulnier,DeSaulnier,60108
California,House,H,10,General Election,G,Katherine Piccinini,Piccinini,20077104
California,House,H,11,General Election,G,Bruce Lou,Lou,20077106
California,House,H,11,General Election,G,Nancy Pelosi,Pelosi,24
California,House,H,12,General Election,G,Lateefah Simon,Simon,20077113
California,House,H,12,General Election,G,Jennifer Tran,Tran,20077115
California,House,H,13,General Election,G,John Duarte,Duarte,20075068
California,House,H,13,General Election,G,Adam Gray,Gray,20075067
California,House,H,14,General Election,G,Vin Kruttiventi,Kruttiventi,20077120
California,House,H,14,General Election,G,Eric Swalwell,Swalwell,62343
California,House,H,15,General Election,G,Anna Cheng Kramer,Kramer,20077121
California,House,H,15,General Election,G,Kevin Mullin,Mullin,20075018
California,House,H,16,General Election,G,Sam Liccardo,Liccardo,20077545
California,House,H,16,General Election,G,Evan Low,Low,20077546
California,House,H,17,General Election,G,Anita Chen,Chen,20077122
California,House,H,17,General Election,G,Ro Khanna,Khanna,7547
California,House,H,18,General Election,G,Peter Hernandez,Hernandez,20075021
California,House,H,18,General Election,G,Zoe Lofgren,Lofgren,110
California,House,H,19,General Election,G,Jason Anderson,Anderson,20077374
California,House,H,19,General Election,G,Jimmy Panetta,Panetta,65030
California,House,H,20,General Election,G,Mike Boudreaux,Boudreaux,20077595
California,House,H,20,General Election,G,Vince Fong,Fong,20077666
California,House,H,21,General Election,G,Jim Costa,Costa,6818
California,House,H,21,General Election,G,Michael Maher,Maher,20075023
California,House,H,22,General Election,G,Rudy Salas,Salas,20075024
California,House,H,22,General Election,G,David Valadao,Valadao,62229
California,House,H,23,General Election,G,Derek Marshall,Marshall,20075025
California,House,H,23,General Election,G,Jay Obernolte,Obernolte,20073428
California,House,H,24,General Election,G,Salud Carbajal,Carbajal,65043
California,House,H,24,General Election,G,Thomas Cole,Cole,20077135
California,House,H,25,General Election,G,Raul Ruiz,Ruiz,62342
California,House,H,25,General Election,G,Ian Weeks,Weeks,20077137
California,House,H,26,General Election,G,Julia Brownley,Brownley,62395
California,House,H,26,General Election,G,Michael Koslow,Koslow,20077139
California,House,H,27,General Election,G,Mike Garcia,Garcia,20073116
California,House,H,27,General Election,G,George Whitesides,Whitesides,20076954
California,House,H,28,General Election,G,Judy Chu,Chu,52450
California,House,H,28,General Election,G,April Verlato,Verlato,20077378
California,House,H,29,General Election,G,Benito Bernal,Bernal,19806
California,House,H,29,General Election,G,Luz Rivas,Rivas,20077433
California,House,H,30,General Election,G,Alex Balekian,Balekian,20077152
California,House,H,30,General Election,G,Laura Friedman,Friedman,20077144
California,House,H,31,General Election,G,Gil Cisneros,Cisneros,19823
California,House,H,31,General Election,G,Daniel Martinez,Martinez,20075117
California,House,H,32,General Election,G,Brad Sherman,Sherman,145
California,House,H,32,General Election,G,Larry Thompson,Thompson,20077388
California,House,H,33,General Election,G,Pete Aguilar,Aguilar,62883
California,House,H,33,General Election,G,Tom Herman,Herman,20077164
California,House,H,34,General Election,G,Jimmy Gomez,Gomez,19814
California,House,H,34,General Election,G,David Kim,Kim,20073437
California,House,H,35,General Election,G,Mike Cargile,Cargile,20073438
California,House,H,35,General Election,G,Norma Torres,Torres,63684
California,House,H,36,General Election,G,Ted Lieu,Lieu,63666
California,House,H,36,General Election,G,Melissa Toomim,Toomim,20075122
California,House,H,37,General Election,G,Sydney Kamlager-Dove,Kamlager-Dove,20075136
California,House,H,37,General Election,G,Juan Rey,Rey,19808
California,House,H,38,General Election,G,Eric Ching,Ching,20075143
California,House,H,38,General Election,G,Linda Sanchez,Sanchez,116
California,House,H,39,General Election,G,David Serpa,Serpa,20077173
California,House,H,39,General Election,G,Mark Takano,Takano,8584
California,House,H,40,General Election,G,Joe Kerr,Kerr,20077174
California,House,H,40,General Election,G,Young Kim,Kim,19830
California,House,H,41,General Election,G,Ken Calvert,Calvert,132
California,House,H,41,General Election,G,Will Rollins,Rollins,20075153
California,House,H,42,General Election,G,John Briscoe,Briscoe,19856
California,House,H,42,General Election,G,Robert Garcia,Garcia,20075158
California,House,H,43,General Election,G,Maxine Waters,Waters,104
California,House,H,43,General Election,G,Steve Williams,Williams,20075135
California,House,H,44,General Election,G,Nanette Barragan,Barragan,65073
California,House,H,44,General Election,G,Roger Groh,Groh,20077176
California,House,H,45,General Election,G,Michelle Steel,Steel,20073124
California,House,H,45,General Election,G,Derek Tran,Tran,20077181
California,House,H,46,General Election,G,Lou Correa,Correa,52470
California,House,H,46,General Election,G,David Pan,Pan,20077182
California,House,H,47,General Election,G,Scott Baugh,Baugh,19866
California,House,H,47,General Election,G,Dave Min,Min,19851
California,House,H,48,General Election,G,Stephen Houlahan,Houlahan,20075174
California,House,H,48,General Election,G,Darrell Issa,Issa,146
California,House,H,49,General Election,G,Matt Gunderson,Gunderson,20077193
California,House,H,49,General Election,G,Mike Levin,Levin,19875
California,House,H,50,General Election,G,Peter Bono,Bono,20077663
California,House,H,50,General Election,G,Scott Peters,Peters,19897
California,House,H,51,General Election,G,Sara Jacobs,Jacobs,19873
California,House,H,51,General Election,G,Bill Wells,Wells,19891
California,House,H,52,General Election,G,Justin Lee,Lee,20077665
California,House,H,52,General Election,G,Juan Vargas,Vargas,52480
California,Issue,I1,0,General Election,G,No,No,3
California,Issue,I1,0,General Election,G,Yes,Yes,2
California,Issue 2,I2,0,General Election,G,No,No,3
California,Issue 2,I2,0,General Election,G,Yes,Yes,2
California,President,P,0,General Election,G,Claudia De la Cruz,De la Cruz,20078288
California,President,P,0,General Election,G,Kamala Harris,Harris,64984
California,President,P,0,General Election,G,Robert F. Kennedy Jr.,Kennedy,20077008
California,President,P,0,General Election,G,Chase Oliver,Oliver,20076636
California,President,P,0,General Election,G,Jill Stein,Stein,895
California,President,P,0,General Election,G,Donald Trump,Trump,8639
California,President,P,0,General Election,G,Write-ins,Write-ins,21303
California,Senate,S,0,General Election,G,Steve Garvey,Garvey,20077198
California,Senate,S,0,General Election,G,Adam Schiff,Schiff,1299
California,Senate,S,0,Gen Special,P,Steve Garvey,Garvey,20077198
California,Senate,S,0,Gen Special,P,Adam Schiff,Schiff,1299
Colorado,House,H,1,General Election,G,Valdamar Archuleta,Archuleta,20078407
Colorado,House,H,1,General Election,G,Diana DeGette,DeGette,734
Colorado,House,H,1,General Election,G,Daniel A Lutz,Lutz,20078896
Colorado,House,H,1,General Election,G,Critter Milton,Milton,20073897
Colorado,House,H,1,General Election,G,Write-ins,Write-ins,21303
Colorado,House,H,2,General Election,G,Marshall Dawson,Dawson,20075594
Colorado,House,H,2,General Election,G,Gaylon Kent,Kent,62893
Colorado,House,H,2,General Election,G,Jan Kok,Kok,20073956
Colorado,House,H,2,General Election,G,Joe Neguse,Neguse,20181
Colorado,House,H,2,General Election,G,Cynthia Sirianni,Sirianni,20078436
Colorado,House,H,2,General Election,G,Write-ins,Write-ins,21303
Colorado,House,H,3,General Election,G,Adam Frisch,Frisch,20075190
Colorado,House,H,3,General Election,G,Jeff Hurd,Hurd,20078409
Colorado,House,H,3,General Election,G,James Wiley,Wiley,20078749
Colorado,House,H,3,General Election,G,Adam Withrow,Withrow,20078438
Colorado,House,H,4,General Election,G,Frank Atwood,Atwood,62539
Colorado,House,H,4,General Election,G,Lauren Boebert,Boebert,20073825
Colorado,House,H,4,General Election,G,Trisha Calvarese,Calvarese,20078405
Colorado,House,H,4,General Election,G,Paul Fiorino,Fiorino,53523
Colorado,House,H,4,General Election,G,Hannah Goodman,Goodman,20078406
Colorado,House,H,5,General Election,G,Jeff Crank,Crank,20078420
Colorado,House,H,5,General Election,G,River Gassen,Gassen,20078418
Colorado,House,H,5,General Election,G,Joseph Gaye,Gaye,20078750
Colorado,House,H,5,General Election,G,Christopher Mitchell,Mitchell,20076923
Colorado,House,H,5,General Election,G,Christopher Sweat,Sweat,20078897
Colorado,House,H,5,General Election,G,Michael Vance,Vance,20078439
Colorado,House,H,5,General Election,G,Write-ins,Write-ins,21303
Colorado,House,H,6,General Election,G,Jason Crow,Crow,20186
Colorado,House,H,6,General Election,G,John Fabbricatore,Fabbricatore,20078421
Colorado,House,H,6,General Election,G,John Kittleson,Kittleson,20076534
Colorado,House,H,6,General Election,G,Travis Nicks,Nicks,20078898
Colorado,House,H,6,General Election,G,Write-ins,Write-ins,21303
Colorado,House,H,7,General Election,G,Patrick Bohan,Bohan,20078713
Colorado,House,H,7,General Election,G,Sergei Matveyuk,Matveyuk,20078422
Colorado,House,H,7,General Election,G,Brittany Pettersen,Pettersen,20075193
Colorado,House,H,7,General Election,G,Ron Tupa,Tupa,20078715
Colorado,House,H,7,General Election,G,Write-ins,Write-ins,21303
Colorado,House,H,8,General Election,G,Chris Baum,Baum,20078899
Colorado,House,H,8,General Election,G,Yadira Caraveo,Caraveo,20075195
Colorado,House,H,8,General Election,G,Gabe Evans,Evans,20078423
Colorado,House,H,8,General Election,G,Susan Hall,Hall,62542
Colorado,House,H,8,General Election,G,Write-ins,Write-ins,21303
Colorado,Issue,I1,0,General Election,G,No,No,3
Colorado,Issue,I1,0,General Election,G,Yes,Yes,2
Colorado,Issue 2,I2,0,General Election,G,No,No,3
Colorado,Issue 2,I2,0,General Election,G,Yes,Yes,2
Colorado,President,P,0,General Election,G,Kamala Harris,Harris,64984
Colorado,President,P,0,General Election,G,Blake Huber,Huber,20073948
Colorado,President,P,0,General Election,G,Robert F. Kennedy Jr.,Kennedy,20077008
Colorado,President,P,0,General Election,G,Chase Oliver,Oliver,20076636
Colorado,President,P,0,General Election,G,Jill Stein,Stein,895
Colorado,President,P,0,General Election,G,Randall Terry,Terry,61513
Colorado,President,P,0,General Election,G,Donald Trump,Trump,8639
Colorado,President,P,0,General Election,G,Cornel West,West,20078274
Colorado,President,P,0,General Election,G,Write-ins,Write-ins,21303
Connecticut,House,H,1,General Election,G,Jim Griffin,Griffin,20076194
Connecticut,House,H,1,General Election,G,John Larson,Larson,1139
Connecticut,House,H,1,General Election,G,Mary Sanders,Sanders,20076910
Connecticut,House,H,2,General Election,G,Joe Courtney,Courtney,1231
Connecticut,House,H,2,General Election,G,Mike France,France,20075198
Connecticut,House,H,3,General Election,G,Rosa DeLauro,DeLauro,1141
Connecticut,House,H,3,General Election,G,Michael Massey,Massey,20078674
Connecticut,House,H,4,General Election,G,Michael Goldstein,Goldstein,20076198
Connecticut,House,H,4,General Election,G,Jim Himes,Himes,59590
Connecticut,House,H,4,General Election,G,Benjamin Wesley,Wesley,20078869
Connecticut,House,H,5,General Election,G,Jahana Hayes,Hayes,20959
Connecticut,House,H,5,General Election,G,George Logan,Logan,20075201
Connecticut,Issue,I1,0,General Election,G,No,No,3
Connecticut,Issue,I1,0,General Election,G,Yes,Yes,2
Connecticut,President,P,0,General Election,G,Kamala Harris,Harris,64984
Connecticut,President,P,0,General Election,G,Robert F. Kennedy Jr.,Kennedy,20077008
Connecticut,President,P,0,General Election,G,Chase Oliver,Oliver,20076636
Connecticut,President,P,0,General Election,G,Jill Stein,Stein,895
Connecticut,President,P,0,General Election,G,Donald Trump,Trump,8639
Connecticut,President,P,0,General Election,G,Write-ins,Write-ins,21303
Connecticut,Senate,S,0,General Election,G,Matthew Corey,Corey,62729
Connecticut,Senate,S,0,General Election,G,Robert Hyde,Hyde,20076184
Connecticut,Senate,S,0,General Election,G,Chris Murphy,Murphy,52147
Connecticut,Senate,S,0,General Election,G,Justin Paglino,Paglino,20073995
Delaware,Governor,G,0,General Election,G,Matt Meyer,Meyer,20078875
Delaware,Governor,G,0,General Election,G,Mike Ramone,Ramone,20078876
Delaware,Governor,G,0,General Election,G,Write-ins,Write-ins,21303
Delaware,House,H,1,General Election,G,Sarah McBride,McBride,20078441
Delaware,House,H,1,General Election,G,John Whalen,Whalen,20078882
Delaware,Lt Governor,L,0,General Election,G,Ruth Briggs King,Briggs King,20078831
Delaware,Lt Governor,L,0,General Election,G,Kyle Gay,Gay,20078881
Delaware,President,P,0,General Election,G,Kamala Harris,Harris,64984
Delaware,President,P,0,General Election,G,Robert F. Kennedy Jr.,Kennedy,20077008
Delaware,President,P,0,General Election,G,Chase Oliver,Oliver,20076636
Delaware,President,P,0,General Election,G,Vermin Supreme,Supreme,1968
Delaware,President,P,0,General Election,G,Donald Trump,Trump,8639
Delaware,President,P,0,General Election,G,Write-ins,Write-ins,21303
Delaware,Senate,S,0,General Election,G,Lisa Blunt Rochester,Blunt Rochester,65591
Delaware,Senate,S,0,General Election,G,Eric Hansen,Hansen,20078487
Delaware,Senate,S,0,General Election,G,Michael Katz,Katz,20078829
Dist of Columbia,Issue,I1,0,General Election,G,No,No,3
Dist of Columbia,Issue,I1,0,General Election,G,Yes,Yes,2
Dist of Columbia,President,P,0,General Election,G,Kamala Harris,Harris,64984
Dist of Columbia,President,P,0,General Election,G,Robert F. Kennedy Jr.,Kennedy,20077008
Dist of Columbia,President,P,0,General Election,G,Donald Trump,Trump,8639
Dist of Columbia,President,P,0,General Election,G,Write-ins,Write-ins,21303
Florida,House,H,1,General Election,G,Matt Gaetz,Gaetz,65653
Florida,House,H,1,General Election,G,Gay Valimont,Valimont,20078230
Florida,House,H,2,General Election,G,Yen Bailey,Bailey,20078757
Florida,House,H,2,General Election,G,Neal Dunn,Dunn,65654
Florida,House,H,3,General Election,G,Kat Cammack,Cammack,20074006
Florida,House,H,3,General Election,G,Tom Wells,Wells,65656
Florida,House,H,4,General Election,G,Aaron Bean,Bean,20076344
Florida,House,H,4,General Election,G,LaShonda Holloway,Holloway,20076342
Florida,House,H,4,General Election,G,Write-ins,Write-ins,21303
Florida,House,H,5,General Election,G,Jay McGovern,McGovern,58601
Florida,House,H,5,General Election,G,John Rutherford,Rutherford,65658
Florida,House,H,5,General Election,G,Write-ins,Write-ins,21303
Florida,House,H,6,General Election,G,James Stockton,Stockton,20078232
Florida,House,H,6,General Election,G,Michael Waltz,Waltz,21071
Florida,House,H,6,General Election,G,Write-ins,Write-ins,21303
Florida,House,H,7,General Election,G,Jennifer Adams,Adams,20078601
Florida,House,H,7,General Election,G,Cory Mills,Mills,20076355
Florida,House,H,8,General Election,G,Mike Haridopolos,Haridopolos,20078234
Florida,House,H,8,General Election,G,Sandy Kennedy,Kennedy,20078602
Florida,House,H,9,General Election,G,Marcus Carter,Carter,20078842
Florida,House,H,9,General Election,G,Thomas Chalifoux,Chalifoux,20078623
Florida,House,H,9,General Election,G,Darren Soto,Soto,65743
Florida,House,H,10,General Election,G,Maxwell Frost,Frost,20076368
Florida,House,H,10,General Election,G,Willie Montague,Montague,20076375
Florida,House,H,11,General Election,G,Barbara Harden Hall,Harden Hall,20078236
Florida,House,H,11,General Election,G,Daniel Webster,Webster,53062
Florida,House,H,12,General Election,G,Rock Aboujaoude,Aboujaoude,20078237
Florida,House,H,12,General Election,G,Gus Bilirakis,Bilirakis,52981
Florida,House,H,13,General Election,G,Whitney Fox,Fox,20078238
Florida,House,H,13,General Election,G,Anna Paulina Luna,Luna,20074008
Florida,House,H,13,General Election,G,Write-ins,Write-ins,21303
Florida,House,H,14,General Election,G,Christopher Bradley,Bradley,20076386
Florida,House,H,14,General Election,G,Kathy Castor,Castor,10546
Florida,House,H,14,General Election,G,Rocky Rochford,Rochford,20078628
Florida,House,H,14,General Election,G,Nathaniel Snyder,Snyder,20078843
Florida,House,H,15,General Election,G,Patricia Kemp,Kemp,20078240
Florida,House,H,15,General Election,G,Laurel Lee,Lee,20076394
Florida,House,H,16,General Election,G,Vern Buchanan,Buchanan,53213
Florida,House,H,16,General Election,G,Jan Schneider,Schneider,1009
Florida,House,H,17,General Election,G,Manny Lopez,Lopez,20078609
Florida,House,H,17,General Election,G,Greg Steube,Steube,21084
Florida,House,H,17,General Election,G,Write-ins,Write-ins,21303
Florida,House,H,18,General Election,G,Scott Franklin,Franklin,20074009
Florida,House,H,18,General Election,G,Andrea Kale,Kale,20076461
Florida,House,H,19,General Election,G,Byron Donalds,Donalds,20061233
Florida,House,H,19,General Election,G,Kari Lerner,Lerner,20078242
Florida,House,H,20,General Election,G,Sheila Cherfilus-McCormick,Cherfilus-McCormick,21089
Florida,House,H,21,General Election,G,Brian Mast,Mast,65757
Florida,House,H,21,General Election,G,Thomas Witkop,Witkop,20078243
Florida,House,H,21,General Election,G,Write-ins,Write-ins,21303
Florida,House,H,22,General Election,G,Lois Frankel,Frankel,10720
Florida,House,H,22,General Election,G,Dan Franzese,Franzese,20076411
Florida,House,H,23,General Election,G,Joe Kaufman,Kaufman,64167
Florida,House,H,23,General Election,G,Jared Moskowitz,Moskowitz,20076415
